model,epoch,metric,value,best_epoch,best_clean_val_rmse_nm
clean__base_scalar,45,train_loss_scaled,0.012024751185394365,49,14.999657850998778
clean__base_scalar,46,train_loss_scaled,0.011985080107962374,49,14.999657850998778
clean__base_scalar,47,train_loss_scaled,0.012013766860591732,49,14.999657850998778
clean__base_scalar,48,train_loss_scaled,0.011993439086711404,49,14.999657850998778
clean__base_scalar,49,train_loss_scaled,0.012009425252389112,49,14.999657850998778
clean__more_feature,1,train_loss_scaled,0.046965226505438155,120,1.8423546022074475
clean__more_feature,2,train_loss_scaled,0.005840969123117836,120,1.8423546022074475
clean__more_feature,3,train_loss_scaled,0.003148215799090354,120,1.8423546022074475
clean__more_feature,4,train_loss_scaled,0.0025991434740210155,120,1.8423546022074475
clean__more_feature,5,train_loss_scaled,0.002302546845260359,120,1.8423546022074475
clean__more_feature,6,train_loss_scaled,0.0019082979798145305,120,1.8423546022074475
clean__more_feature,7,train_loss_scaled,0.001708249116888987,120,1.8423546022074475
clean__more_feature,8,train_loss_scaled,0.001903562681955854,120,1.8423546022074475
clean__more_feature,9,train_loss_scaled,0.00151277630039272,120,1.8423546022074475
clean__more_feature,10,train_loss_scaled,0.0015035209321622813,120,1.8423546022074475
clean__more_feature,11,train_loss_scaled,0.0014059694425115018,120,1.8423546022074475
clean__more_feature,12,train_loss_scaled,0.001365932269278741,120,1.8423546022074475
clean__more_feature,13,train_loss_scaled,0.0013562929852779305,120,1.8423546022074475
clean__more_feature,14,train_loss_scaled,0.0012055795008973286,120,1.8423546022074475
clean__more_feature,15,train_loss_scaled,0.00123023458874663,120,1.8423546022074475
clean__more_feature,16,train_loss_scaled,0.001164222028723093,120,1.8423546022074475
clean__more_feature,17,train_loss_scaled,0.0011231550294143221,120,1.8423546022074475
clean__more_feature,18,train_loss_scaled,0.0009951332000990418,120,1.8423546022074475
clean__more_feature,19,train_loss_scaled,0.0010650171815077731,120,1.8423546022074475
clean__more_feature,20,train_loss_scaled,0.0009933820192624175,120,1.8423546022074475
clean__more_feature,21,train_loss_scaled,0.0009906620926608061,120,1.8423546022074475
clean__more_feature,22,train_loss_scaled,0.0009287800615586125,120,1.8423546022074475
clean__more_feature,23,train_loss_scaled,0.0008512108599339017,120,1.8423546022074475
clean__more_feature,24,train_loss_scaled,0.0010989113777519397,120,1.8423546022074475
clean__more_feature,25,train_loss_scaled,0.0008216888832140664,120,1.8423546022074475
clean__more_feature,26,train_loss_scaled,0.0009049933718107127,120,1.8423546022074475
clean__more_feature,27,train_loss_scaled,0.0008595992602575965,120,1.8423546022074475
clean__more_feature,28,train_loss_scaled,0.0008325266422187602,120,1.8423546022074475
clean__more_feature,29,train_loss_scaled,0.0008405152836417934,120,1.8423546022074475
clean__more_feature,30,train_loss_scaled,0.000939505402589858,120,1.8423546022074475
clean__more_feature,31,train_loss_scaled,0.0008098815948905528,120,1.8423546022074475
