wavelength_nm,R_no_gap_percent,R_1mm_air_gap_only_percent,R_sio2_reference_1mm_air_gap_percent
752.4000000000001,11.64493646334363,11.64493646334363,35.913793207510686
752.4200000000001,11.64570339465582,11.645703394655808,32.09292344249782
752.44,11.646470326194414,11.646470326194422,25.9886431772033
752.46,11.64723725795078,11.64723725795078,18.005156535734955
752.48,11.648004189916241,11.648004189916247,9.375084084968188
752.5,11.648771122082172,11.648771122082172,2.4623388034309985
752.52,11.649538054439926,11.64953805443992,0.013627341324630296
752.54,11.650304986980837,11.650304986980837,3.1933809592870843
752.56,11.651071919696292,11.65107191969628,10.508608646562115
752.5799999999999,11.651838852577624,11.651838852577635,19.1646831764666
752.6,11.652605785616228,11.65260578561622,26.94155908632449
752.62,11.653372718803437,11.65337271880344,32.74874896425919
752.64,11.654139652130626,11.654139652130626,36.255656129096955
752.6600000000001,11.65490658558919,11.65490658558919,37.43508242585018
752.6800000000001,11.655673519170469,11.655673519170469,36.30405346158016
752.7,11.656440452865857,11.656440452865853,32.84659115064164
752.72,11.657207386666721,11.657207386666709,27.087610071758334
752.74,11.657974320564431,11.657974320564435,19.347403186985204
752.76,11.658741254550387,11.658741254550394,10.694190941298695
752.78,11.659508188615979,11.659508188615971,3.3216044330815557
752.8,11.66027512275258,11.660275122752564,0.02431205716637616
752.8199999999999,11.661042056951553,11.66104205695156,2.3443321796797574
752.84,11.661808991204342,11.661808991204335,9.176987277795716
752.86,11.662575925502288,11.662575925502292,17.79287040134074
752.88,11.663342859836815,11.663342859836819,25.80852006618473
752.9000000000001,11.664109794199334,11.664109794199327,31.967465281795178
752.9200000000001,11.664876728581204,11.664876728581213,35.85211024293374
752.94,11.665643662973855,11.665643662973848,37.4095083953326
752.96,11.666410597368685,11.666410597368674,36.65896578832284
752.98,11.667177531757087,11.667177531757078,33.58890711211532
753.0,11.667944466130502,11.667944466130493,28.205256629742117
753.02,11.668711400480298,11.668711400480301,20.751703325583815
753.04,11.669478334797923,11.669478334797919,12.134059319513737
753.06,11.670245269074767,11.670245269074773,4.352851423460272
753.0799999999999,11.67101220330228,11.671012203302283,0.1986186830710973
753.1,11.67177913747187,11.671779137471862,1.5697943060431787
753.12,11.67254607157492,11.672546071574931,7.807099595668627
753.14,11.673313005602923,11.673313005602923,16.31134479239809
753.1600000000001,11.674079939547259,11.674079939547262,24.546279869656786
753.1800000000001,11.674846873399373,11.674846873399362,31.0685498733704
753.2,11.675613807150672,11.675613807150684,35.353883103191905
753.22,11.676380740792633,11.676380740792633,37.313644113628555
753.24,11.677147674316648,11.677147674316652,36.966677249983114
753.26,11.677914607714197,11.677914607714188,34.30748265968052
753.28,11.678681540976685,11.678681540976674,29.32836331275502
753.3,11.679448474095572,11.679448474095572,22.205111245903694
753.3199999999999,11.680215407062299,11.680215407062306,13.686871519962146
753.34,11.680982339868319,11.680982339868322,5.563184049481114
753.36,11.681749272505071,11.681749272505067,0.5646867960442958
753.38,11.68251620496403,11.682516204964024,0.9070053501364232
753.4000000000001,11.683283137236618,11.683283137236614,6.424613110707778
753.4200000000001,11.684050069314315,11.684050069314315,14.72702981961383
753.44,11.684817001188565,11.68481700118858,23.148846866018435
753.46,11.685583932850845,11.685583932850848,30.040509543887183
753.48,11.686350864292603,11.686350864292601,34.74818573317437
753.5,11.687117795505312,11.687117795505298,37.13483639841128
753.52,11.687884726480446,11.687884726480432,37.2146456614749
753.54,11.688651657209451,11.688651657209439,34.98927171783027
753.56,11.689418587683823,11.689418587683816,30.442769067810044
753.5799999999999,11.69018551789503,11.690185517895019,23.692786372429925
753.6,11.69095244783456,11.69095244783456,15.34109921077588
753.62,11.691719377493863,11.691719377493866,6.954613328605805
753.64,11.69248630686445,11.692486306864454,1.1480367468940704
753.6600000000001,11.69325323593779,11.693253235937798,0.3967606338822248
753.6800000000001,11.694020164705385,11.694020164705371,5.062097565562387
753.7,11.694787093158695,11.694787093158691,13.05203222587828
753.72,11.695554021289226,11.695554021289219,21.61230826019949
