,L_fft_um,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,fft_spectral_centroid_um,fringe_visibility_global,fringe_contrast_std,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
PC3,0.028308062670275965,-0.07043216367295044,0.06477226987637,-0.05972145486193825,0.019789519959278495,0.018282384865809475,-0.10333127879526388,-0.14331465129119994,-0.0053224156359489875,0.06772684064885678,1.0,0.01963613841147259,0.010126400090032524,-0.0352374004759135,-0.02347828132980797,0.0798823698277411,-0.0092320805507489,-0.00493994275325267,-0.024006617751760797,0.033075641899058095,0.023339425753105467,-0.03412536686897559,0.04314817777884199,0.03192899011774668,0.030263457440164322,-0.03219185664821132,0.03364376234974935,-0.060902015106603966,-0.03599122724698966,0.027135984209127762,-0.007185524001093995,0.031840327445238965,-0.04226350536152911,-0.02646711155899886,0.04704705862208267,-0.08127776229360971,-0.03588741530664187,-0.037195969980646296,0.023171938343612943,0.020446068178670656,-0.009514454585713344,-0.04327551693194425,-0.02240609443094529,0.045145541781132156,-0.010268258535548327,0.018986595574102136,0.04988830122557545,-0.04450582470248327,0.00710268776649138,0.01499634802688612,-0.05955093604445442,0.033414170071721344,-0.10126918105915177,0.011852476728116913,-0.030961090618452584,-0.04488107161703592,0.02575955040904293,0.03316834070316086
PC4,0.0035942912870933715,0.04340105972884329,0.028132837208309034,-0.015211980364540531,0.0675577510882389,0.24054499676328567,0.017690682878375795,-0.03279369537685484,-0.002985816396890179,-0.07649580600960723,0.01963613841147259,1.0,-0.012616824413781003,-0.012986325613378166,-0.029992168412835796,-0.02591545869824831,0.03639439197427193,-0.06457271447607045,-0.0022966612716005083,0.024249259863074295,-0.038559534589226896,-0.011758304267449301,-0.05578222738909856,-0.024251370184658325,0.004873926195515949,0.0024167208051498307,-0.03830902357097708,-0.06585763871968858,0.015561389818956613,-0.041619584612910224,-0.008313625562680671,-0.07550300298659109,0.008893384039772531,-0.024679417289691228,-0.03899339713886451,0.04140760421329728,-0.00782865522074361,0.008636460177023943,-0.04558621737226951,0.06265343131015069,0.018985810648392755,-0.09583915295942373,0.042060995976685146,0.04704628161038728,-0.06371099732454306,0.004009276714339035,-0.01258261323214659,-0.0014339844937736603,-0.032304221397027634,-0.039881583439105965,0.013693455772845394,0.07968090914185437,-0.043408014302038,-0.06975066721179579,-0.04655329214353735,0.03466925546450711,0.042765440058476704,0.013864870613601634
PC5,0.009300080177795248,0.05935692306403051,0.0644750514765568,0.1177265492775776,-0.012309076170453279,-0.08592746798916913,0.03472822201785196,-0.07449733103660391,-0.02893252729608216,-0.057900424751195105,0.010126400090032524,-0.012616824413781003,1.0,-0.05653295689286814,0.08804366360104683,0.013929573027295581,-0.02171012011200866,-0.04729003890845941,-0.016352609536211805,-0.07313523452668572,0.05514720561984159,0.04811026823241082,-0.043205143831642846,-0.06679483643353933,-0.03851870546149079,-0.024851257609466725,0.021238339834153908,-0.0487718450540756,-0.0018525105671957358,-0.08340063433633546,0.01703878375822272,0.008768351205922098,0.020417559239064697,0.0007100311437349036,-0.051389763857841796,0.0020291365604890696,-0.045831957402842544,-0.05131709631086575,-0.029828384566295902,0.012613739347951793,-0.03416381506632075,0.0304929228624597,-0.016332469120806176,0.024402845679487924,0.03592510806059876,0.04816312464549485,-0.06572113449881803,0.019235437022269875,-0.008042771952038699,-0.04003301691827093,-0.05272797294693794,-0.036191575306433806,-0.04099758962583009,0.013156715782084695,0.03548937014956792,-0.00795272033789964,-0.008441096252879027,-0.004177440234218496
PC6,-0.09401597276345919,-0.02397465083575221,0.13250769957686018,0.03908817499235693,-0.24475821407710213,0.48710590234421364,-0.1620288195529829,-0.01864782130436479,0.048059974908630135,-0.0035129503137938086,-0.0352374004759135,-0.012986325613378166,-0.05653295689286814,1.0,-0.050510190358773674,-0.059176077583492366,-0.01876119770087666,-0.03716203451353241,0.03443596704543034,-0.06601922255865271,0.01409518823516931,-0.00047143403376521747,-0.13012977390344668,0.008450921961729092,-0.049763932835758924,-0.0221642117599085,0.042831493124975986,0.07189291879819254,0.042979082279974413,0.009111903226124601,-0.008003377518727428,-0.003761530791730888,-0.010382621773413269,-0.013958327919712424,0.007756855170758789,0.022555272647198664,0.03442894523502646,-0.0447915317680726,0.07913472215189865,-0.05129279340195048,-0.014371495610782332,0.013812770199395702,-0.008133115105456569,-0.060288476168053065,0.03373929945362018,0.03138752567499734,0.04134635362788154,-0.007118092062820726,-0.05515077731601809,-0.054667733841680215,-0.0006412325372131786,-0.004167550084610224,0.02898385027184202,0.017650748219418887,-0.016851832899603562,0.017241930704035565,-0.0821069964432761,0.056998352851419756
PC7,-0.025136326268599473,-0.003987670005488352,-0.028829234011248664,0.02680663082726559,0.021774424616450058,-0.03661420620688206,-0.018900330026372637,-0.05359956090383058,0.002598006849101135,-0.00395592241908386,-0.02347828132980797,-0.029992168412835796,0.08804366360104683,-0.050510190358773674,1.0,0.03436699554969609,0.004742200188162726,-0.0421972329834304,0.005898290120756948,-0.0006943709380239849,0.02320553386946253,-0.07549747758364644,0.030904064297322936,-0.0506501881205342,-0.004501029349769858,0.07894113421953325,0.04647947856066409,0.02716499604119652,-0.062136428243750964,-0.05298053461628746,0.014087426401727979,0.01827250153450092,-0.0819176468071883,0.0009588231071767407,0.01606106475321744,-0.011050898055355144,0.07550700758139625,-0.03424416176445731,0.028115994818462837,-0.06302089851511251,0.03413898428448138,-0.019598486815030517,-0.017345654103538808,-0.041539626296297996,-0.022356360708779464,-0.0004236719854805055,0.012774160988210145,0.03363158646966295,-0.027888881427337593,0.07248487089344606,0.06999719621684931,-0.024861643263739325,-0.00029314577330254773,0.038814745367302235,-0.0007032783130820868,0.037251677120036616,-0.041560410009708476,0.008943376379559225
PC8,-0.06437219792426245,0.028103649950422083,0.015358103293421558,-0.06454072268663438,-0.13968672574591123,0.01132262494314949,-0.08237059181987046,-0.07911844458111929,0.09475109984207071,-0.03500867252542904,0.0798823698277411,-0.02591545869824831,0.013929573027295581,-0.059176077583492366,0.03436699554969609,1.0,-0.07159336391578582,0.020609730632796412,0.037406462388329044,-0.02350809502788031,0.0011677337854938876,-0.052765449694977914,0.000544545908757678,-0.06064211929280589,-0.020366910814267086,0.04400559588030249,-0.025403686687041883,0.002382490666442336,-0.10401303304741621,-0.004000214107603308,-0.07097397047549109,0.05401878040218082,-0.04389358243949633,0.012795486895929764,0.03542634619473287,-0.011816449356304076,0.026830227578100503,-0.030746932135296754,0.0027101796252740574,-0.005891926751921259,0.05819236986481209,-0.05225391724316382,-0.03226616619528167,-0.05191513960783714,0.02761524813263196,0.0376828310279201,0.04063465116661422,-0.052711679169911686,-0.013196761989712936,-0.07520080718178562,-0.01782868163795702,-0.006460571319628532,-0.04455401275396872,0.0022202856395570217,-0.02229512630961597,-0.08212380560708302,0.020063603096264638,-0.027737373710173686
PC9,0.08543324851327253,-0.15143583265302007,-0.14735078113109937,-0.03948457724546668,0.12907402236338492,-0.10320358388985143,0.06841542129882174,0.02736566302551445,0.023788651029975665,0.015669165105350012,-0.0092320805507489,0.03639439197427193,-0.02171012011200866,-0.01876119770087666,0.004742200188162726,-0.07159336391578582,1.0,-0.05309813300213501,0.0321970858998519,0.05736056169243546,-0.09354716502533089,-0.03576511099480782,-0.02516865734410046,0.020468909976551743,-0.05322634318267466,-0.0018609124138584741,-0.03563428287120185,-0.05122800003552353,0.028308454325183956,0.06513656065414998,-0.015461379908890096,0.012674848381759115,0.012843105472080623,-0.022798768446028718,-0.02896929680307077,-0.032284578260576305,-0.011656986639971447,0.029797769934055484,0.019265305968148506,0.00840462425461441,0.04539838521532691,0.027244168405742612,-0.09781553378205138,-0.03365739719500616,-0.021037996422356504,-0.009446073108895853,-0.005638977180485282,0.04370695482057805,0.10103159007427791,-0.04942663286580109,0.005806499374086097,0.028401556989426566,0.052664514310213795,0.06547900381050327,0.010821135487482729,-0.024609396157790103,-0.017969640032576003,-0.010630384563093016
PC10,0.03450161457535984,0.05284272294328047,0.07611726658499961,0.015266901775549152,0.03472296813205259,0.0038239498148439455,-0.008193764319929171,-0.06740403169002093,-0.0947097629122236,0.0541792432413222,-0.00493994275325267,-0.06457271447607045,-0.04729003890845941,-0.03716203451353241,-0.0421972329834304,0.020609730632796412,-0.05309813300213501,1.0,0.07279813122348693,0.030856839131227835,-0.0005450967909744785,-0.02975213114281745,0.06533533457317225,0.05732422715050352,-0.04283454311323369,0.06262211736049025,0.08320640007986069,-0.0027765200833806012,-0.02482485541598484,0.008790482603311474,0.021422325748276873,0.002673141033391481,0.03876559976035901,-0.055550797362048064,-0.01757218172247414,-0.02189502713846642,0.06194360181877935,-0.007734039454822807,-0.00555874626495631,0.036332418107123565,0.002541873289929227,0.03075054931969434,0.0816168375472847,0.02608851770047952,-0.02268894827945556,-0.08260994246248218,0.01740684940869162,0.0588030325100999,-0.024937966865824602,-0.07081461658682167,-0.03428037408756172,0.007229351158143794,-0.035025021404376355,0.029857335978137205,-0.07520706510685589,-0.04959180462772113,-0.006118870822751642,-0.10713595938879915
PC11,-0.0058541710578144095,-0.07512850033787942,-0.04491456702748977,0.060974616917045754,-0.17908115370344035,-0.24979358720573266,-0.06214715658893361,0.1376176635834809,0.0676108522167856,-0.024993423723333377,-0.024006617751760797,-0.0022966612716005083,-0.016352609536211805,0.03443596704543034,0.005898290120756948,0.037406462388329044,0.0321970858998519,0.07279813122348693,1.0,-0.020855611885938687,-0.007473577972555105,-0.017539478405648595,0.02766588619308751,0.017975898059597845,-0.01469622427567286,-0.054488905789313036,-0.02734876110810441,0.07889824101403,0.030669466163900403,0.06849887136217532,-0.016651547909565228,0.003293190632564506,0.018488187676742256,0.03378286841357002,0.015297334219424913,-0.08518764279227438,-0.004059473474970634,0.0036522098441296924,-0.0019775886006303677,-0.04723673716099603,-0.030658269485335995,0.030450740720058492,0.11250044501385495,0.00230803745003836,-0.0413112183310066,-0.04389409345844032,-0.05168799402663729,-0.0469473710550525,0.031665418096318065,-0.01657076128669839,-0.01072819762017822,-0.03460250850376125,0.04854325853349778,0.002044824369275673,-0.030460751569027403,-0.07205575816256646,-0.006887683687167987,-0.04607009288412766
PC12,0.002313424164865313,-0.1322754886660565,-0.10393597111840686,-0.2100744760636515,0.10425097041104271,0.08299046534515218,-0.049289539032899204,0.1068759962903181,0.0015203244244888685,0.05014399139321131,0.033075641899058095,0.024249259863074295,-0.07313523452668572,-0.06601922255865271,-0.0006943709380239849,-0.02350809502788031,0.05736056169243546,0.030856839131227835,-0.020855611885938687,1.0,-0.03126944890594621,0.030832812691180485,0.010447018506195392,-0.031601540797627635,-0.01878970757946165,0.0005134136121144813,-0.01698881406205822,-0.05555295911646822,-0.012212238062601704,-0.037055193803717724,-0.033287146714015496,0.014690800334181159,0.017988065344455732,0.055227321701179555,-0.034750389944301185,-0.004228591258090795,0.004858991702014787,-0.03459103924872663,-0.01652905613827709,-0.019859281198236284,-0.005004143673018099,0.05491481754237733,0.06595485614854447,-0.016265668053738018,0.07890486662139719,-0.13374946199318916,-0.00605740837191268,0.0258193455321791,0.027431536540658143,-0.009057263440602717,0.08114381279653209,-0.010670822039281198,-0.006064403466430202,-0.006252596921195943,-0.010088051496552283,-0.04829015534508322,-0.04294226449571397,-0.060618334335915305
