PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,PC_51,PC_52,PC_53,PC_54,PC_55,PC_56,PC_57,PC_58,PC_59,PC_60,PC_61,PC_62,PC_63,PC_64,PC_65,PC_66,PC_67,PC_68,PC_69,PC_70,PC_71,PC_72,PC_73,PC_74,PC_75,PC_76,PC_77,PC_78,PC_79,PC_80,PC_81,PC_82,PC_83,PC_84,PC_85,PC_86,PC_87,PC_88,PC_89,PC_90,PC_91,PC_92,PC_93,PC_94,PC_95,PC_96,PC_97,PC_98,PC_99,PC_100
-0.84908414,2.2208998,2.161059,-2.3872423,0.9108608,4.714533,2.8403862,2.5695727,0.13157022,-2.022242,1.9824684,0.10665536,2.1316934,0.0647417,0.4138005,0.35401687,1.1510638,1.7188482,-0.48134294,1.403002,-0.2935944,-0.043801397,0.052311547,-0.4283761,0.7181474,-1.1676883,-0.611945,0.37519407,-0.19775541,-1.9128611,1.0965282,-1.916958,-0.44745812,0.5679089,0.05070184,0.97382575,0.1959349,0.85401756,-1.3442277,0.5286709,0.59498316,-0.14970443,0.6239306,-0.25575686,0.04461229,0.29003596,-0.022900071,-0.3253834,0.43655676,0.23370726,-0.30112836,-0.49490127,-0.41044676,0.6400376,-0.22447114,0.18948857,-0.15895066,0.4371991,-0.2582833,-0.24965984,-0.3183706,-0.2879825,-0.25427568,-0.04666566,0.456228,-0.061409622,-0.21295418,-0.3143083,-0.3278994,-0.2482181,0.09798516,-0.15798527,-0.23416355,0.56265676,0.24379878,-0.2735112,0.07028215,0.02661645,0.13852935,0.11750022,0.12968078,-0.0009634588,-0.037915982,0.022894964,0.08143615,0.2477499,-0.18312815,0.038217917,-0.19943798,0.09054336,0.05787651,0.1377261,0.047108762,-0.025694072,-0.10310806,-0.3772791,0.013978042,-0.063428625,0.006556543,-0.037196215
-0.84132886,2.2168422,2.3554058,-2.3348265,0.96270335,4.765205,2.7497377,2.366645,0.11236572,-2.1482112,2.025753,0.08368027,2.163369,0.13667578,0.28029653,0.3235229,1.1449366,1.6919105,-0.46115312,1.4435357,-0.21776128,0.09470254,-0.09617834,-0.4415068,0.73215944,-1.1063648,-0.73161346,0.33370504,-0.2724071,-1.8619573,1.0652999,-1.9708377,-0.42255908,0.5466061,0.05445555,1.0706782,0.16107498,0.86432916,-1.3041472,0.564876,0.6795733,-0.0682305,0.5726553,-0.21392056,0.09262009,0.29862022,0.008882437,-0.3626271,0.40103874,0.20565619,-0.30385497,-0.5331604,-0.45607913,0.6157342,-0.18913224,0.1752856,-0.14166863,0.4070965,-0.25720167,-0.18756607,-0.2700219,-0.32396364,-0.29349172,-0.030728577,0.4129698,-0.07470924,-0.21788067,-0.363562,-0.3204488,-0.2557932,0.11025092,-0.14230534,-0.20698152,0.5510418,0.2208686,-0.28376567,0.15410298,0.032891776,0.112396784,0.12291952,0.13599987,-0.0047956984,-0.038840413,-0.006685541,0.06903332,0.2645483,-0.17288896,0.04179486,-0.20319669,0.0965541,0.07101338,0.15486889,0.05789996,-3.4563942e-05,-0.08565207,-0.3950669,0.0033806637,-0.032344624,-0.008305548,-0.06984681
-0.8340404,2.2122881,2.5388122,-2.281188,1.0139289,4.8140903,2.6522923,2.1523764,0.09522605,-2.2577055,2.070821,0.062265694,2.1912606,0.20283726,0.14463134,0.28948674,1.1297258,1.6675906,-0.42838678,1.4693476,-0.13876095,0.23018864,-0.24902187,-0.45627695,0.71976703,-1.0373521,-0.8442447,0.2957006,-0.3535107,-1.8004842,1.0306175,-2.020657,-0.39349735,0.52591825,0.059080042,1.1625195,0.11987426,0.8693183,-1.2548318,0.5984548,0.75234514,-0.0022002105,0.5204832,-0.1737814,0.14477316,0.30494046,0.039050344,-0.38805145,0.3619281,0.17870326,-0.3029961,-0.5614025,-0.51111835,0.58281124,-0.15287146,0.15949097,-0.12866168,0.3730842,-0.25106704,-0.12349027,-0.21734016,-0.36157382,-0.32788837,-0.013804467,0.3729678,-0.0888547,-0.2196727,-0.40700185,-0.3029971,-0.25096443,0.12633511,-0.12872277,-0.17672984,0.5331071,0.19468264,-0.28873748,0.22992685,0.039750766,0.080787666,0.1282804,0.14041407,-0.011841336,-0.040800944,-0.029963352,0.04775176,0.27297342,-0.15956916,0.032608755,-0.2033353,0.096532136,0.08463268,0.16465925,0.07254154,0.027138293,-0.06541924,-0.4035775,-0.009573244,-0.0006818427,-0.024670204,-0.09938383
-0.8273903,2.2072206,2.7119322,-2.2264469,1.0646122,4.860438,2.5483184,1.9281383,0.08053422,-2.3496454,2.117003,0.042794347,2.2150953,0.26306066,0.008599559,0.2531595,1.1053102,1.6459491,-0.38351306,1.4808519,-0.05725549,0.3603802,-0.4031316,-0.47378606,0.6810404,-0.96119565,-0.94863623,0.26172477,-0.43977153,-1.7277998,0.992399,-2.0658658,-0.36001533,0.50673294,0.06422929,1.2471888,0.07226115,0.86913306,-1.1966778,0.6281761,0.8122246,0.04601214,0.46811706,-0.13512596,0.20033735,0.30868813,0.06685126,-0.40179235,0.3195487,0.15435407,-0.29829535,-0.5799452,-0.5740753,0.54234165,-0.115722984,0.141927,-0.11985372,0.33606073,-0.24039076,-0.058962442,-0.16168573,-0.3995425,-0.3559733,0.003919562,0.33632547,-0.10311048,-0.21714044,-0.4442786,-0.27680892,-0.23471105,0.14563558,-0.11724672,-0.14333284,0.50969833,0.16563545,-0.28858522,0.29354614,0.047409188,0.047275554,0.13378066,0.14265734,-0.021822875,-0.0440944,-0.04613684,0.019526873,0.27242443,-0.14351356,0.011252457,-0.1988948,0.09007269,0.09817478,0.16828951,0.09069912,0.0544298,-0.04282073,-0.40193138,-0.024100684,0.030394632,-0.041538883,-0.12612742
-0.82150936,2.2016404,2.8753057,-2.1707225,1.1148019,4.903711,2.438055,1.6954901,0.06858754,-2.423037,2.1637225,0.025643706,2.234572,0.3172428,-0.12600203,0.2156907,1.071721,1.627243,-0.32701525,1.4786098,0.026006244,0.48285267,-0.5552185,-0.49507153,0.6170024,-0.8785541,-1.0435789,0.23241457,-0.5298001,-1.6433787,0.9505541,-2.1060781,-0.32196057,0.48985276,0.069335796,1.3226813,0.018251844,0.86394435,-1.1302884,0.65300506,0.8584181,0.07473118,0.4160744,-0.09781494,0.25846976,0.30951104,0.0918569,-0.4042763,0.2741768,0.1339152,-0.28946334,-0.58917564,-0.64310884,0.49546573,-0.07775742,0.12238827,-0.114759445,0.29729235,-0.22581604,0.0046878397,-0.10432931,-0.43661135,-0.37618774,0.02207346,0.30286786,-0.116681,-0.20938714,-0.47517818,-0.24338369,-0.20864747,0.1672058,-0.107995324,-0.1069533,0.4819505,0.13407226,-0.28317958,0.34186313,0.055926275,0.01534767,0.1391596,0.14229548,-0.034317844,-0.048528515,-0.05494006,-0.013449248,0.26243955,-0.12554798,-0.020898705,-0.18944886,0.07748164,0.11081626,0.1672243,0.111844294,0.08016717,-0.018573621,-0.38949946,-0.039362513,0.059808232,-0.057725634,-0.15048221
-0.81646585,2.1955724,3.0293877,-2.1141422,1.1645421,4.943563,2.3216863,1.4561471,0.059610844,-2.4769912,2.2105596,0.011303186,2.2494187,0.36533955,-0.2574205,0.1782029,1.0291853,1.6119368,-0.2593649,1.4633126,0.1102544,0.59499943,-0.7018774,-0.5210465,0.52964324,-0.7901788,-1.1278656,0.2084287,-0.6221912,-1.5468386,0.90501034,-2.1411612,-0.27929157,0.4758955,0.073641166,1.3871969,-0.04206547,0.8539817,-1.0564413,0.6721374,0.8903882,0.083002366,0.3646433,-0.061780296,0.31829265,0.30708325,0.11392498,-0.39624432,0.22609338,0.11843817,-0.2761375,-0.58963865,-0.7159109,0.4434636,-0.039206237,0.10056436,-0.11267871,0.25824618,-0.20807032,0.06637081,-0.046338577,-0.47166803,-0.38702196,0.03997261,0.27232087,-0.12879251,-0.19594207,-0.499545,-0.20435813,-0.17475267,0.18969527,-0.10118945,-0.06790559,0.4510612,0.10022012,-0.27218837,0.3728702,0.06510178,-0.011915022,0.14378461,0.138826,-0.048874974,-0.053445116,-0.056634292,-0.04895973,0.24279958,-0.10683572,-0.061747678,-0.17512882,0.059824843,0.121644005,0.16299559,0.13520087,0.10262933,0.0064288797,-0.36593193,-0.05455447,0.08662543,-0.07197879,-0.17284296
-0.812273,2.1890838,3.1746128,-2.0568535,1.21386,4.9797945,2.199297,1.211944,0.053800702,-2.5107405,2.257188,0.00030195713,2.259438,0.40736154,-0.38398883,0.14181039,0.9781109,1.6006057,-0.18104544,1.435768,0.1947532,0.69405824,-0.8396405,-0.5524537,0.4218734,-0.6968737,-1.2003043,0.19037558,-0.7156086,-1.4380522,0.8557707,-2.1712692,-0.23208024,0.46520934,0.07623184,1.4392548,-0.108490214,0.83957547,-0.97603387,0.68504393,0.90787286,0.07060964,0.3138814,-0.026983283,0.37893862,0.30119154,0.13309652,-0.37877804,0.17566127,0.108676255,-0.25791764,-0.5821535,-0.7896895,0.38783234,-0.0004268512,0.07604943,-0.11290923,0.22043815,-0.18792503,0.12521775,0.011487291,-0.50377333,-0.38720542,0.0565954,0.24444044,-0.13874634,-0.17680575,-0.5172249,-0.16146247,-0.13512611,0.21141839,-0.097043745,-0.026482917,0.41815004,0.064252205,-0.255174,0.385551,0.07447506,-0.032036033,0.14684188,0.13183738,-0.06510436,-0.057839066,-0.051935054,-0.08489799,0.21371548,-0.08862423,-0.108507924,-0.15654904,0.03880014,0.1297742,0.1570577,0.15972218,0.120317824,0.031276837,-0.33120656,-0.068920515,0.11010204,-0.08312428,-0.19350603
-0.808936,2.1823204,3.3114543,-1.9990176,1.2627542,5.0123477,2.0708847,0.9647764,0.051389217,-2.5236475,2.303248,-0.006974578,2.2645211,0.44337162,-0.50415576,0.107623726,0.919053,1.5937686,-0.092611834,1.3968927,0.27878943,0.77720493,-0.965029,-0.5898259,0.29741693,-0.59944046,-1.259754,0.17872941,-0.8087992,-1.3173002,0.8029716,-2.196812,-0.180518,0.45783526,0.07611943,1.4778218,-0.18059367,0.82118386,-0.8900614,0.69152594,0.9109533,0.038087048,0.2636867,0.006643094,0.43954447,0.29180413,0.14943773,-0.35328168,0.123398595,0.10505961,-0.23452622,-0.56791085,-0.86130476,0.33035645,0.038255084,0.04844053,-0.11488898,0.18529265,-0.16616645,0.1805158,0.068598084,-0.5321198,-0.37590066,0.07072434,0.21905288,-0.14593247,-0.15239702,-0.5280679,-0.11650104,-0.09183141,0.23054478,-0.095604196,0.01719854,0.38421434,0.026438689,-0.23169015,0.379779,0.0834289,-0.043229494,0.14759108,0.12118801,-0.08271396,-0.06055948,-0.04188978,-0.11929705,0.176057,-0.07200567,-0.15776625,-0.13466236,0.01649086,0.13444704,0.15071332,0.18413927,0.13219158,0.055193577,-0.2856947,-0.0817168,0.12970306,-0.09019903,-0.21258621
-0.8064879,2.1755376,3.44035,-1.9408127,1.3111814,5.041313,1.9364804,0.71654594,0.05268359,-2.515237,2.3482306,-0.01045835,2.2646666,0.47347388,-0.6164922,0.07676658,0.85268974,1.5917122,0.0052585006,1.3476878,0.36158955,0.841701,-1.0746531,-0.6334623,0.16065396,-0.49863082,-1.3051906,0.17376705,-0.9005233,-1.1853753,0.74691963,-2.2183616,-0.12491656,0.45353058,0.07238041,1.5023974,-0.2575465,0.7993799,-0.79964805,0.691754,0.90012443,-0.013307029,0.21391208,0.039258875,0.49918142,0.27905717,0.16285655,-0.32140416,0.070028864,0.10768597,-0.20605424,-0.54849726,-0.9275366,0.27317446,0.076716244,0.017469272,-0.11821079,0.15398198,-0.14357142,0.23161791,0.12458044,-0.55601054,-0.35282785,0.08121677,0.19602323,-0.14981519,-0.123422325,-0.53201574,-0.07133216,-0.046843775,0.24534537,-0.096616216,0.06323787,0.35012835,-0.0127078835,-0.20141885,0.35624796,0.091346264,-0.044451427,0.14561063,0.10714453,-0.101484016,-0.06055449,-0.027733855,-0.15029716,0.13154535,-0.057789244,-0.20564193,-0.11060258,-0.0049031377,0.13512419,0.14510143,0.20707393,0.137803,0.077651516,-0.23022096,-0.09218342,0.14508758,-0.09255181,-0.22995509
-0.805017,2.1690948,3.5615423,-1.8824123,1.3590454,5.066933,1.7963376,0.46913168,0.05804801,-2.4852262,2.3914354,-0.0104705095,2.2599905,0.49780038,-0.7196946,0.050421238,0.77982455,1.594382,0.11171135,1.2892075,0.44219172,0.88508165,-1.16537,-0.68344325,0.016418781,-0.39511773,-1.3357805,0.17552547,-0.98943454,-1.0435913,0.68811226,-2.2365155,-0.06570127,0.4518447,0.06432713,1.5130236,-0.33795342,0.7747989,-0.7061304,0.68628544,0.8763523,-0.08160999,0.16448876,0.071146645,0.5567526,0.26319116,0.17295283,-0.28491074,0.016475461,0.116306394,-0.17319922,-0.5258222,-0.9854006,0.2188202,0.11506243,-0.016887382,-0.12253523,0.12724157,-0.12089858,0.2778601,0.17899446,-0.57490915,-0.31827378,0.08730928,0.17517021,-0.14991756,-0.09071561,-0.52923554,-0.02782255,-0.0020558012,0.25440353,-0.09948571,0.11183923,0.31662887,-0.052373044,-0.16433005,0.316446,0.09775654,-0.035469007,0.14095627,0.090432756,-0.12119924,-0.057091206,-0.010755562,-0.17611295,0.08280684,-0.04650949,-0.24807617,-0.08554584,-0.023276612,0.1315989,0.14121497,0.22719122,0.13731347,0.098433524,-0.1660861,-0.09956971,0.15607052,-0.08990095,-0.24522042
