theta_deg,multipass_N,geometric_gain,optical_power_ratio,random_noise_std_nm,asd_bias_std_nm,asd_bias_rms_nm,total_rms_nm
63.25,1,1.7859578868222739,0.9603999999999999,2.5719814708572715,0.0,0.0,2.5719814708572715
63.25,2,3.5719157736445477,0.9223681599999999,1.3122354443149344,0.0,0.0,1.3122354443149344
63.25,4,7.143831547289095,0.8507630225817855,0.6831713058699158,0.0,0.0,0.6831713058699158
63.25,6,10.715747320933643,0.7847167237347998,0.4742269234137971,0.0,0.0,0.4742269234137971
63.5,1,1.7898687232040502,0.9603999999999999,2.5663617298231487,0.0,0.0,2.5663617298231487
63.5,2,3.5797374464081004,0.9223681599999999,1.3093682295016063,0.0,0.0,1.3093682295016063
63.5,4,7.159474892816201,0.8507630225817855,0.6816785867875917,0.0,0.0,0.6816785867875917
63.5,6,10.739212339224302,0.7847167237347998,0.47319074468109945,0.0,0.0,0.47319074468109945
63.75,1,1.7937454830653767,0.9603999999999999,2.5608151412810436,0.0,0.0,2.5608151412810436
63.75,2,3.5874909661307535,0.9223681599999999,1.3065383373882875,0.0,0.0,1.3065383373882875
63.75,4,7.174981932261507,0.8507630225817855,0.6802052985153517,0.0,0.0,0.6802052985153517
63.75,6,10.76247289839226,0.7847167237347998,0.47216805394651656,0.0,0.0,0.47216805394651656
