mode,rank,start_label,start_order,parameter,unit,truth,initial,fit,signed_error,absolute_error
joint,6,其他起点5,5,Air,um,1000,998.2031342,998.2106716,-1.7893284,1.7893284
joint,6,其他起点5,5,HSQ,nm,30,26.85929253,20.00000003,-9.99999997,9.99999997
joint,6,其他起点5,5,PSS,nm,10,18.6315374,20,10,10
joint,6,其他起点5,5,SOC,nm,40,34.74118557,49.99999994,9.99999994,9.99999994
joint,6,其他起点5,5,TiO2,nm,40,36.58124116,30,-10,10
joint,7,其他起点6,6,Air,um,1000,999.4144748,999.4228548,-0.5771452,0.5771452
joint,7,其他起点6,6,HSQ,nm,30,24.65311485,20,-10,10
joint,7,其他起点6,6,PSS,nm,10,12.29399658,20,10,10
joint,7,其他起点6,6,SOC,nm,40,42.49891328,32.31045353,-7.68954647,7.68954647
joint,7,其他起点6,6,TiO2,nm,40,46.11610187,47.3095193,7.3095193,7.3095193
joint,8,其他起点7,7,Air,um,1000,998.7720123,998.7375431,-1.2624569,1.2624569
joint,8,其他起点7,7,HSQ,nm,30,23.21677924,24.63467227,-5.36532773,5.36532773
joint,8,其他起点7,7,PSS,nm,10,3.627494491,20,10,10
joint,8,其他起点7,7,SOC,nm,40,41.63087363,50,10,10
joint,8,其他起点7,7,TiO2,nm,40,33.85342507,30,-10,10
