Wavelength(um),Intensity
5.006599999999969963e-01,2.694800014130022819e-02
5.006699999999969508e-01,3.427161554013538614e-02
5.006799999999969053e-01,5.302312569564112538e-02
5.006899999999968598e-01,6.313530723797770861e-02
5.006999999999968143e-01,4.755272212018737260e-02
5.007099999999967688e-01,3.108787892384323390e-02
5.007199999999967233e-01,2.616001756564292902e-02
5.007299999999966778e-01,3.103248672903388683e-02
5.007399999999966322e-01,4.783252195550987546e-02
5.007499999999965867e-01,6.399474500521545872e-02
5.007599999999965412e-01,5.166718691295199561e-02
5.007699999999964957e-01,3.311401538315673909e-02
5.007799999999964502e-01,2.648199419599029519e-02
5.007899999999964047e-01,2.860128896925612230e-02
5.007999999999963592e-01,4.165753714497866245e-02
5.008099999999963137e-01,6.225003003523217615e-02
5.008199999999962682e-01,5.727371796301080481e-02
5.008299999999962226e-01,3.756426948110071218e-02
5.008399999999961771e-01,2.737812895751455880e-02
5.008499999999961316e-01,2.718820659363406500e-02
5.008599999999960861e-01,3.754456079299685334e-02
5.008699999999960406e-01,5.607107683056807013e-02
5.008799999999959951e-01,6.140740278078912762e-02
5.008899999999959496e-01,4.146322155833367940e-02
5.008999999999959041e-01,2.827902716812369030e-02
5.009099999999958586e-01,2.673364626384247544e-02
5.009199999999958131e-01,3.302499262552640452e-02
5.009299999999957675e-01,5.175736927545047245e-02
5.009399999999957220e-01,6.340687432105465704e-02
5.009499999999956765e-01,4.776190447388795751e-02
5.009599999999956310e-01,3.156572405628112893e-02
5.009699999999955855e-01,2.583984206065419870e-02
5.009799999999955400e-01,3.061183144610430187e-02
5.009899999999954945e-01,4.624617361355819189e-02
5.009999999999954490e-01,6.325147356521365616e-02
5.010099999999954035e-01,5.540036604553119637e-02
5.010199999999953580e-01,3.500763354804616034e-02
5.010299999999953124e-01,2.649045980896919811e-02
5.010399999999952669e-01,2.757549814284047246e-02
5.010499999999952214e-01,3.998376872633797180e-02
5.010599999999951759e-01,6.009962250482690088e-02
5.010699999999951304e-01,5.969079137101698102e-02
5.010799999999950849e-01,3.856260467302093098e-02
5.010899999999950394e-01,2.768731232244055554e-02
5.010999999999949939e-01,2.676027174917670892e-02
5.011099999999949484e-01,3.553193785330689691e-02
5.011199999999949029e-01,5.469972319746673611e-02
5.011299999999948573e-01,6.139658021500961349e-02
5.011399999999948118e-01,4.440178325779845642e-02
5.011499999999947663e-01,2.960821300936203326e-02
5.011599999999947208e-01,2.647305121855580284e-02
5.011699999999946753e-01,3.173972365158078679e-02
5.011799999999946298e-01,4.954743581574659606e-02
5.011899999999945843e-01,6.264244232076521257e-02
5.011999999999945388e-01,5.171981249142917209e-02
5.012099999999944933e-01,3.335041704127532369e-02
5.012199999999944477e-01,2.597510780739962014e-02
5.012299999999944022e-01,2.928027801375907360e-02
5.012399999999943567e-01,4.356703465130831038e-02
5.012499999999943112e-01,6.270811790930103102e-02
5.012599999999942657e-01,5.588007910794157151e-02
5.012699999999942202e-01,3.665709646194963145e-02
5.012799999999941747e-01,2.746497421772226694e-02
5.012899999999941292e-01,2.734347718396885896e-02
5.012999999999940837e-01,3.871422181253145189e-02
5.013099999999940382e-01,5.781654406777459593e-02
5.013199999999939926e-01,6.095656427575602693e-02
5.013299999999939471e-01,4.168904848744302283e-02
5.013399999999939016e-01,2.874905433091392085e-02
5.013499999999938561e-01,2.592930101986060457e-02
5.013599999999938106e-01,3.381199610344590850e-02
5.013699999999937651e-01,5.276754439481560338e-02
5.013799999999937196e-01,6.469063043759178122e-02
5.013899999999936741e-01,4.707466222332356426e-02
5.013999999999936286e-01,3.053472665760872257e-02
5.014099999999935831e-01,2.653201193564251256e-02
5.014199999999935375e-01,3.081811331849437091e-02
5.014299999999934920e-01,4.702664747174319093e-02
5.014399999999934465e-01,6.244092622783140034e-02
5.014499999999934010e-01,5.316787749654652145e-02
5.014599999999933555e-01,3.488726193997496866e-02
5.014699999999933100e-01,2.608035384832096612e-02
5.014799999999932645e-01,2.763037033182828839e-02
5.014899999999932190e-01,4.133896533397599798e-02
5.014999999999931735e-01,6.000571643233264946e-02
5.015099999999931280e-01,5.864913912810016533e-02
5.015199999999930824e-01,3.802209541170441937e-02
5.015299999999930369e-01,2.748386623712468710e-02
5.015399999999929914e-01,2.687328962616460093e-02
5.015499999999929459e-01,3.605289369109329622e-02
5.015599999999929004e-01,5.453198424750176770e-02
5.015699999999928549e-01,6.245687976173647238e-02
5.015799999999928094e-01,4.347445870756450753e-02
5.015899999999927639e-01,2.926760765371805295e-02
5.015999999999927184e-01,2.635580913215479840e-02
5.016099999999926728e-01,3.179514504070751757e-02
5.016199999999926273e-01,4.974354129436916322e-02
5.016299999999925818e-01,6.286506033450733888e-02
5.016399999999925363e-01,5.021095228925470666e-02
5.016499999999924908e-01,3.222282052211792452e-02
5.016599999999924453e-01,2.639894660342468474e-02
5.016699999999923998e-01,2.917222150187279497e-02
5.016799999999923543e-01,4.436702149402665246e-02
5.016899999999923088e-01,6.063211607118990792e-02
5.016999999999922633e-01,5.532846653303732931e-02
5.017099999999922177e-01,3.622408210214235480e-02
5.017199999999921722e-01,2.746530461743834292e-02
5.017299999999921267e-01,2.732704992815694622e-02
5.017399999999920812e-01,3.781450332519981777e-02
5.017499999999920357e-01,5.918062893566731347e-02
5.017599999999919902e-01,6.120007310321308458e-02
5.017699999999919447e-01,4.194062009718814432e-02
5.017799999999918992e-01,2.788560139272797458e-02
5.017899999999918537e-01,2.603960214301015083e-02
5.017999999999918082e-01,3.304710817166722076e-02
5.018099999999917626e-01,5.144843838805089609e-02
5.018199999999917171e-01,6.433885644629783185e-02
5.018299999999916716e-01,4.763278775448951535e-02
5.018399999999916261e-01,3.121681061818593061e-02
5.018499999999915806e-01,2.618401419031151506e-02
5.018599999999915351e-01,3.012245989781198868e-02
5.018699999999914896e-01,4.644594688254213843e-02
5.018799999999914441e-01,6.241486152990236708e-02
5.018899999999913986e-01,5.418081287863793505e-02
5.018999999999913531e-01,3.433662447201632495e-02
5.019099999999913075e-01,2.681736623744072207e-02
5.019199999999912620e-01,2.825350024930339821e-02
5.019299999999912165e-01,3.962593835357083871e-02
5.019399999999911710e-01,6.031978379103919430e-02
5.019499999999911255e-01,5.940602722846054923e-02
5.019599999999910800e-01,3.880601013058110338e-02
5.019699999999910345e-01,2.733328934899388260e-02
5.019799999999909890e-01,2.645028090971308227e-02
5.019899999999909435e-01,3.498287431106832795e-02
5.019999999999908979e-01,5.510148272916855910e-02
5.020099999999908524e-01,6.173032033403843405e-02
5.020199999999908069e-01,4.523163930917038777e-02
5.020299999999907614e-01,3.024044141325523544e-02
5.020399999999907159e-01,2.589052602081861817e-02
5.020499999999906704e-01,3.151526252462337474e-02
5.020599999999906249e-01,4.766747658666586895e-02
5.020699999999905794e-01,6.408535212639476786e-02
5.020799999999905339e-01,5.314170443941321209e-02
5.020899999999904884e-01,3.268892907229679901e-02
5.020999999999904428e-01,2.663892236605590672e-02
5.021099999999903973e-01,2.963181241597416180e-02
5.021199999999903518e-01,4.197959749131895124e-02
5.021299999999903063e-01,6.259489494835257517e-02
5.021399999999902608e-01,5.791105526920119206e-02
5.021499999999902153e-01,3.777803682133458463e-02
5.021599999999901698e-01,2.650449093655357635e-02
5.021699999999901243e-01,2.698444942446834999e-02
5.021799999999900788e-01,3.672406092033440178e-02
5.021899999999900333e-01,5.621787501005610227e-02
5.021999999999899877e-01,6.238061359982428888e-02
5.022099999999899422e-01,4.333714115599661409e-02
5.022199999999898967e-01,2.899859031262528447e-02
5.022299999999898512e-01,2.630019995799547788e-02
5.022399999999898057e-01,3.230476019022185397e-02
5.022499999999897602e-01,5.008139994513594040e-02
5.022599999999897147e-01,6.335011778502985802e-02
5.022699999999896692e-01,5.034243902582065389e-02
5.022799999999896237e-01,3.184707264749714328e-02
5.022899999999895781e-01,2.656113037215858744e-02
5.022999999999895326e-01,2.982025761391833216e-02
5.023099999999894871e-01,4.390969400316856869e-02
5.023199999999894416e-01,6.239107223652394507e-02
5.023299999999893961e-01,5.657836836142009218e-02
5.023399999999893506e-01,3.556141402923208156e-02
5.023499999999893051e-01,2.643283005631069313e-02
5.023599999999892596e-01,2.709203488527436518e-02
5.023699999999892141e-01,3.764483126181789735e-02
5.023799999999891686e-01,5.763391301651419468e-02
5.023899999999891230e-01,5.998746929359538571e-02
5.023999999999890775e-01,4.178247247480588317e-02
5.024099999999890320e-01,2.829702226929559777e-02
5.024199999999889865e-01,2.616070158019652772e-02
5.024299999999889410e-01,3.339797581360545720e-02
5.024399999999888955e-01,5.121056108944656293e-02
5.024499999999888500e-01,6.419124905245846002e-02
5.024599999999888045e-01,4.886017870938093310e-02
5.024699999999887590e-01,3.058715098787508774e-02
5.024799999999887135e-01,2.698809086817993350e-02
5.024899999999886679e-01,2.987133611217086468e-02
5.024999999999886224e-01,4.577036037247192435e-02
5.025099999999885769e-01,6.254466686338333581e-02
5.025199999999885314e-01,5.601931535698160408e-02
5.025299999999884859e-01,3.486663229419505183e-02
5.025399999999884404e-01,2.670856961656981748e-02
5.025499999999883949e-01,2.776248939197013127e-02
5.025599999999883494e-01,3.908440673170148622e-02
5.025699999999883039e-01,5.890280681909654953e-02
5.025799999999882584e-01,5.976342076658568842e-02
5.025899999999882128e-01,3.973570360796077616e-02
5.025999999999881673e-01,2.812823464685926603e-02
5.026099999999881218e-01,2.689953343152082579e-02
5.026199999999880763e-01,3.377655455125961464e-02
5.026299999999880308e-01,5.229828690055730173e-02
5.026399999999879853e-01,6.406881109736377311e-02
5.026499999999879398e-01,4.719559225949760545e-02
5.026599999999878943e-01,3.022475410357961662e-02
5.026699999999878488e-01,2.554998994269149296e-02
5.026799999999878032e-01,3.023779483432671028e-02
5.026899999999877577e-01,4.747182191987171090e-02
5.026999999999877122e-01,6.345195262726889551e-02
5.027099999999876667e-01,5.391396909544896726e-02
