Wavelength(um),Intensity
4.358089522380595437e-01,4.454169817666999690e-25
4.359089772443111022e-01,4.200729108344000044e-25
4.360090022505626606e-01,4.476389990547000326e-25
4.361090272568142190e-01,4.262688653746999847e-25
4.362090522630657774e-01,4.317894589758000172e-25
4.363090772693173358e-01,4.421101811175999872e-25
4.364091022755688942e-01,4.175503264167999826e-25
4.365091272818204526e-01,4.448935338351999742e-25
4.366091522880720666e-01,4.231294370595999791e-25
4.367091772943236250e-01,4.295544791029999569e-25
4.368092023005751834e-01,4.388711954936000432e-25
4.369092273068267418e-01,4.150669838422999553e-25
4.370092523130783002e-01,4.421642314817999622e-25
4.371092773193298586e-01,4.200286939027999618e-25
4.372093023255814170e-01,4.273010294026000059e-25
4.373093273318329754e-01,4.356438518506999690e-25
4.374093523380845339e-01,4.126158164567000061e-25
4.375093773443360923e-01,4.394339442697000050e-25
4.376094023505876507e-01,4.169726832870999742e-25
4.377094273568392646e-01,4.250517377972000155e-25
4.378094523630907675e-01,4.324219436513999734e-25
4.379094773693423814e-01,4.102009202032000127e-25
4.380095023755939398e-01,4.367074055305999620e-25
4.381095273818454983e-01,4.139584105670999822e-25
4.382095523880970567e-01,4.228272853811000398e-25
4.383095773943486151e-01,4.292063277113000334e-25
4.384096024006001735e-01,4.077764362504999976e-25
4.385096274068517319e-01,4.339603791072999879e-25
4.386096524131032903e-01,4.109631820058999964e-25
4.387096774193548487e-01,4.206076125678000430e-25
4.388097024256064072e-01,4.260551325724000075e-25
4.389097274318579656e-01,4.054389268590999939e-25
4.390097524381095795e-01,4.312522086144999610e-25
4.391097774443611379e-01,4.080286931465999800e-25
4.392098024506126963e-01,4.184061728071000000e-25
4.393098274568642547e-01,4.229253688845000217e-25
4.394098524631158131e-01,4.031298800167000047e-25
4.395098774693673715e-01,4.285426461042999660e-25
4.396099024756189300e-01,4.051228192680999930e-25
4.397099274818704884e-01,4.162136645907000284e-25
4.398099524881220468e-01,4.198254326692000251e-25
4.399099774943736052e-01,4.008708448396000029e-25
4.400100025006251636e-01,4.258797306455999993e-25
4.401100275068767220e-01,4.022860144196999996e-25
4.402100525131282804e-01,4.140388148019000053e-25
4.403100775193798944e-01,4.167331750352999929e-25
4.404101025256314528e-01,3.985857523180999914e-25
4.405101275318830112e-01,4.231633957012999722e-25
4.406101525381345696e-01,3.994586123689999960e-25
4.407101775443861280e-01,4.118567462919999916e-25
4.408102025506376864e-01,4.136740041625000177e-25
4.409102275568892448e-01,3.963710549572999959e-25
4.410102525631408033e-01,4.204903413230000322e-25
4.411102775693923617e-01,3.966752403576999984e-25
4.412103025756439201e-01,4.096799700930000174e-25
4.413103275818954785e-01,4.106338245987999776e-25
4.414103525881470924e-01,3.941484174125999952e-25
4.415103775943985953e-01,4.177977630739000042e-25
4.416104026006502092e-01,3.939570474657999877e-25
4.417104276069017676e-01,4.075419855331999963e-25
4.418104526131533261e-01,4.076476705400999865e-25
4.419104776194048845e-01,3.920031337586999974e-25
4.420105026256564429e-01,4.151535007798000445e-25
4.421105276319080013e-01,3.912711132317999812e-25
4.422105526381595597e-01,4.053811518118999863e-25
4.423105776444111181e-01,4.046435651345000070e-25
4.424106026506626765e-01,3.898466811092000199e-25
4.425106276569142350e-01,4.124916513397999973e-25
4.426106526631657934e-01,3.886140840030000044e-25
4.427106776694174073e-01,4.032458877768999877e-25
4.428107026756689657e-01,4.017055760961999945e-25
4.429107276819205241e-01,3.877393480602000213e-25
4.430107526881720825e-01,4.098488463216000116e-25
4.431107776944236409e-01,3.859859521403000051e-25
4.432108027006751994e-01,4.010941095980999868e-25
4.433108277069267578e-01,3.987986204378000079e-25
4.434108527131783162e-01,3.856700222777000158e-25
4.435108777194298746e-01,4.072313521471000202e-25
4.436109027256814330e-01,3.834386802262000215e-25
4.437109277319329914e-01,3.989601059319000218e-25
4.438109527381845498e-01,3.958967345619999861e-25
4.439109777444361082e-01,3.836023900676000224e-25
4.440110027506877222e-01,4.045661787345999880e-25
4.441110277569392806e-01,3.808872338161000033e-25
4.442110527631908390e-01,3.968355716017000120e-25
4.443110777694423974e-01,3.930248275594999917e-25
4.444111027756939558e-01,3.815841686425999836e-25
4.445111277819455142e-01,4.019674555242000195e-25
4.446111527881970726e-01,3.784048369714999873e-25
4.447111777944486311e-01,3.947283601491000011e-25
4.448112028007001895e-01,3.901721805332999913e-25
4.449112278069517479e-01,3.795548808537000103e-25
4.450112528132033063e-01,3.993351440615999876e-25
4.451112778194549202e-01,3.759288501181999978e-25
4.452113028257064231e-01,3.926208700195999831e-25
4.453113278319580370e-01,3.873726230737999948e-25
4.454113528382095955e-01,3.775772361416999832e-25
4.455113778444611539e-01,3.967417548061000201e-25
4.456114028507127123e-01,3.735130186531999891e-25
4.457114278569642707e-01,3.905055964336999902e-25
4.458114528632158291e-01,3.845718810057000032e-25
4.459114778694673875e-01,3.756121093338999931e-25
4.460115028757189459e-01,3.941318318499000129e-25
4.461115278819705043e-01,3.711180197903000059e-25
4.462115528882220628e-01,3.884261161084999923e-25
4.463115778944736212e-01,3.818317508272999804e-25
4.464116029007252351e-01,3.736885780458000195e-25
4.465116279069767935e-01,3.915511690596000110e-25
4.466116529132283519e-01,3.687599787136999940e-25
4.467116779194799103e-01,3.863209112021000080e-25
4.468117029257314687e-01,3.790675989933000204e-25
4.469117279319830272e-01,3.717677037049000000e-25
4.470117529382345856e-01,3.889969396862999924e-25
4.471117779444861440e-01,3.664516577442000172e-25
4.472118029507377024e-01,3.842636053420999841e-25
4.473118279569892608e-01,3.763853838352999915e-25
4.474118529632408192e-01,3.698735967901999842e-25
4.475118779694923776e-01,3.864459726171999878e-25
4.476119029757439360e-01,3.641677854813999929e-25
4.477119279819955500e-01,3.821698178585999925e-25
4.478119529882471084e-01,3.736929666788000016e-25
4.479119779944986668e-01,3.679808419714000146e-25
4.480120030007502252e-01,3.838798457380000106e-25
4.481120280070017836e-01,3.619229636240000150e-25
4.482120530132533420e-01,3.801200754075000189e-25
4.483120780195049004e-01,3.710447281271000135e-25
4.484121030257564589e-01,3.661208565511000015e-25
4.485121280320080173e-01,3.813438301095000183e-25
4.486121530382595757e-01,3.597045922521999785e-25
4.487121780445111341e-01,3.780687497303999832e-25
4.488122030507626925e-01,3.684290077673999810e-25
4.489122280570142509e-01,3.642971615122999808e-25
4.490122530632658648e-01,3.788574740918000084e-25
4.491122780695174233e-01,3.575305920284999916e-25
4.492123030757689817e-01,3.760094307790000002e-25
4.493123280820205401e-01,3.658357794329000086e-25
4.494123530882720985e-01,3.624650684879999920e-25
4.495123780945236569e-01,3.763352197914999794e-25
4.496124031007752153e-01,3.553722963317000067e-25
4.497124281070267737e-01,3.739643859974999791e-25
4.498124531132783321e-01,3.632673754683999924e-25
4.499124781195298906e-01,3.606532279888000106e-25
4.500125031257814490e-01,3.738471580113000117e-25
4.501125281320330629e-01,3.532583517473999798e-25
4.502125531382846213e-01,3.719302433536999829e-25
4.503125781445361797e-01,3.607366723007000131e-25
4.504126031507877381e-01,3.588650065230000224e-25
4.505126281570392965e-01,3.713571997628999854e-25
4.506126531632908550e-01,3.511399252470999773e-25
4.507126781695424134e-01,3.698837267496000080e-25
4.508127031757939718e-01,3.582256600102999786e-25
4.509127281820455302e-01,3.570808903328999986e-25
4.510127531882970886e-01,3.688903749381000081e-25
4.511127781945486470e-01,3.490648747738999865e-25
4.512128032008002054e-01,3.678281728891999895e-25
4.513128282070517638e-01,3.557238406371999829e-25
4.514128532133033778e-01,3.553094179464000181e-25
4.515128782195549362e-01,3.664537102159000029e-25
4.516129032258064946e-01,3.470445968317000163e-25
4.517129282320580530e-01,3.658264452503999998e-25
4.518129532383096114e-01,3.532906528706999953e-25
4.519129782445611698e-01,3.535522477903000064e-25
4.520130032508127282e-01,3.640228464662999804e-25
4.521130282570642867e-01,3.450489690341999812e-25
4.522130532633158451e-01,3.638176972804999966e-25
4.523130782695674035e-01,3.508879504654999777e-25
4.524131032758189619e-01,3.518201216458999862e-25
4.525131282820705203e-01,3.616104886714999829e-25
4.526131532883220787e-01,3.430831086568000146e-25
4.527131782945736926e-01,3.618089027444000067e-25
4.528132033008252511e-01,3.484999254354999817e-25
4.529132283070768095e-01,3.500880277776000123e-25
4.530132533133283679e-01,3.592074600327000083e-25
4.531132783195799263e-01,3.411290812801999981e-25
4.532133033258314847e-01,3.597866038640000000e-25
4.533133283320830431e-01,3.461441555719000165e-25
4.534133533383346015e-01,3.483927200634999900e-25
4.535133783445861599e-01,3.568440529764999872e-25
4.536134033508377184e-01,3.392181643471999790e-25
4.537134283570892768e-01,3.577818251261999886e-25
4.538134533633408907e-01,3.438225377221000167e-25
