Wavelength (um), Intensity
0.511560, 0.518826
0.511570, 0.406145
0.511580, 0.387389
0.511590, 0.491797
0.511600, 0.584043
0.511610, 0.610797
0.511620, 0.569426
0.511630, 0.466356
0.511640, 0.37738
0.511650, 0.42777
0.511660, 0.540819
0.511670, 0.604768
0.511680, 0.600681
0.511690, 0.528762
0.511700, 0.414955
0.511710, 0.38185
0.511720, 0.480684
0.511730, 0.578186
0.511740, 0.611472
0.511750, 0.576596
0.511760, 0.477864
0.511770, 0.380596
0.511780, 0.417199
0.511790, 0.53122
0.511800, 0.601777
0.511810, 0.604402
0.511820, 0.538937
0.511830, 0.425273
0.511840, 0.377436
0.511850, 0.468592
0.511860, 0.57121
0.511870, 0.611499
0.511880, 0.583579
0.511890, 0.490106
0.511900, 0.385739
0.511910, 0.406683
0.511920, 0.520353
0.511930, 0.597829
0.511940, 0.607629
0.511950, 0.549194
0.511960, 0.43706
0.511970, 0.374585
0.511980, 0.455631
0.511990, 0.562982
0.512000, 0.610739
0.512010, 0.59023
0.512020, 0.502916
0.512030, 0.392998
0.512040, 0.396628
0.512050, 0.508168
0.512060, 0.592774
0.512070, 0.61022
0.512080, 0.55936
0.512090, 0.450206
0.512100, 0.373751
0.512110, 0.441998
0.512120, 0.553369
0.512130, 0.609041
0.512140, 0.596394
0.512150, 0.516093
0.512160, 0.402482
0.512170, 0.387536
0.512180, 0.494657
0.512190, 0.586452
0.512200, 0.612024
0.512210, 0.569253
0.512220, 0.464534
0.512230, 0.375366
0.512240, 0.427999
0.512250, 0.542247
0.512260, 0.606244
0.512270, 0.601911
0.512280, 0.529413
0.512290, 0.414192
0.512300, 0.379998
0.512310, 0.47988
0.512320, 0.578697
0.512330, 0.612881
0.512340, 0.578683
0.512350, 0.479799
0.512360, 0.379799
0.512370, 0.414071
0.512380, 0.529515
0.512390, 0.602173
0.512400, 0.606614
0.512410, 0.542632
0.512420, 0.42801
0.512430, 0.374668
0.512440, 0.46399
0.512450, 0.569337
0.512460, 0.612621
0.512470, 0.587458
0.512480, 0.495706
0.512490, 0.387302
0.512500, 0.400802
0.512510, 0.51511
0.512520, 0.59664
0.512530, 0.61033
0.512540, 0.555499
0.512550, 0.443695
0.512560, 0.372214
0.512570, 0.447274
0.512580, 0.558206
0.512590, 0.611061
0.512600, 0.595381
0.512610, 0.51192
0.512620, 0.397965
0.512630, 0.388933
0.512640, 0.499039
0.512650, 0.58945
0.512660, 0.612878
0.512670, 0.567758
0.512680, 0.460896
