Wavelength(um),Intensity
4.076019004751187946e-01,8.055773566799000009e-24
4.077019254813703530e-01,8.675231874860999371e-24
4.078019504876219115e-01,9.256608969492000531e-24
4.079019754938734699e-01,9.769129618136000559e-24
4.080020005001250283e-01,1.019334029983000014e-23
4.081020255063766422e-01,1.051935011156999940e-23
4.082020505126282006e-01,1.074484219645000070e-23
4.083020755188797590e-01,1.087305113821000055e-23
4.084021005251313174e-01,1.091091160169000011e-23
4.085021255313828759e-01,1.086761287863000016e-23
4.086021505376344343e-01,1.075376009010000009e-23
4.087021755438859927e-01,1.058122101707999931e-23
4.088022005501375511e-01,1.036354524711000030e-23
4.089022255563891095e-01,1.011662602516999947e-23
4.090022505626406679e-01,9.859095223057999997e-24
4.091022755688922263e-01,9.611866045982000291e-24
4.092023005751437847e-01,9.396351330073999908e-24
4.093023255813953432e-01,9.231282256550999480e-24
4.094023505876469571e-01,9.128740324325000175e-24
4.095023755938985155e-01,9.090728360073000645e-24
4.096024006001500739e-01,9.107788267762000242e-24
4.097024256064016323e-01,9.160443977498000289e-24
4.098024506126531907e-01,9.222983328401000377e-24
4.099024756189047491e-01,9.268198629746999275e-24
4.100025006251563076e-01,9.271690672757000691e-24
4.101025256314078660e-01,9.214929146961000061e-24
4.102025506376594244e-01,9.086903856821999482e-24
4.103025756439109828e-01,8.884603415926999525e-24
4.104026006501625412e-01,8.612724909979000661e-24
4.105026256564141551e-01,8.283049628335999352e-24
4.106026506626657135e-01,7.913876497504000070e-24
4.107026756689172720e-01,7.529773083672999811e-24
4.108027006751688304e-01,7.161607180207999634e-24
4.109027256814203888e-01,6.846261910598000472e-24
4.110027506876719472e-01,6.624666196040000182e-24
4.111027756939235056e-01,6.536417148561999785e-24
4.112028007001750640e-01,6.610730276939000173e-24
4.113028257064266224e-01,6.857154003804000023e-24
4.114028507126781808e-01,7.261836912312999705e-24
4.115028757189297393e-01,7.791737652332000650e-24
4.116029007251812977e-01,8.403248096221999380e-24
4.117029257314328561e-01,9.050213574967000248e-24
4.118029507376844700e-01,9.689122142912999910e-24
4.119029757439360284e-01,1.028179529304000061e-23
4.120030007501875868e-01,1.079659722975999978e-23
4.121030257564391452e-01,1.120888432748000021e-23
4.122030507626907037e-01,1.150102780427000036e-23
4.123030757689422621e-01,1.166212808127999993e-23
4.124031007751938205e-01,1.168747267374000031e-23
4.125031257814453789e-01,1.157779743083999987e-23
4.126031507876969373e-01,1.133844214924000061e-23
4.127031757939484957e-01,1.097851864317000020e-23
4.128032008002000541e-01,1.051022039370999989e-23
4.129032258064516125e-01,9.948396118469000726e-24
4.130032508127031710e-01,9.310490422358999809e-24
4.131032758189547849e-01,8.616932295643000237e-24
4.132033008252063433e-01,7.892030724753999891e-24
4.133033258314579017e-01,7.165391476740000636e-24
4.134033508377094601e-01,6.473689723224000045e-24
4.135033758439610185e-01,5.862025294166999776e-24
4.136034008502125769e-01,5.382619897576000315e-24
4.137034258564641354e-01,5.086794613635000071e-24
4.138034508627156938e-01,5.008150872340000219e-24
4.139034758689672522e-01,5.145582936765999672e-24
4.140035008752188106e-01,5.462496520308000174e-24
4.141035258814703690e-01,5.903882663162999818e-24
4.142035508877219274e-01,6.415036097278000040e-24
4.143035758939735413e-01,6.950921296575000074e-24
4.144036009002250998e-01,7.477568168461000593e-24
4.145036259064766582e-01,7.970206799545000509e-24
4.146036509127282166e-01,8.410933795232999392e-24
4.147036759189797750e-01,8.786857513919000559e-24
4.148037009252313334e-01,9.088858173212000705e-24
4.149037259314828918e-01,9.310856791183000512e-24
4.150037509377344502e-01,9.449445111812999555e-24
4.151037759439860086e-01,9.503739980124000330e-24
4.152038009502375671e-01,9.475348066070000263e-24
4.153038259564891255e-01,9.368352128966999381e-24
4.154038509627406839e-01,9.189257102585000492e-24
4.155038759689922978e-01,8.946861961585999999e-24
4.156039009752438562e-01,8.652049264548000541e-24
4.157039259814954146e-01,8.317505458232999660e-24
4.158039509877469730e-01,7.957398161079999850e-24
4.159039759939985315e-01,7.587038027364000569e-24
4.160040010002500899e-01,7.222538310994000099e-24
4.161040260065016483e-01,6.880451649982000329e-24
4.162040510127532067e-01,6.577313391447000112e-24
4.163040760190047651e-01,6.328972538280000102e-24
4.164041010252563235e-01,6.149590513162000178e-24
4.165041260315078819e-01,6.050296127182999783e-24
4.166041510377594403e-01,6.037718224781000128e-24
4.167041760440109988e-01,6.112856475895999999e-24
4.168042010502626127e-01,6.270767771177000292e-24
4.169042260565141711e-01,6.501236699146999917e-24
4.170042510627657295e-01,6.790171568106000031e-24
